d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp900556535,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp018265835,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900556145,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp900772725,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NSJ-62;s__NSJ-62 sp018919205,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp017527825,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp902760845,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia;s__Harryflintia acetispora,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA2658;s__UBA2658 sp009929315,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus aquaticus,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Filimonas;s__Filimonas zeae,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter gallistercoris,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__WRJS01;s__WRJS01 sp009777165,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SP197;f__SP197;g__MPMV01;s__MPMV01 sp002238685,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Herbivorax,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SP197;f__SP197;g__MPMV01,C00019_SAM+,C00024_Acetyl CoA,C00041_Ala,C00043_UDP-N-acetylglucosamine,C00106_Uracil,C00148_Pro,C00170_5-Methylthioadenosine,C00179_Agmatine,C00214_Thymidine,C00253_Nicotinate,C00295_Orotate,C00327_Citrulline,C00385_Xanthine,C00407_Ile,C00429_Dihydrouracil,C00430_5-Aminolevulinate,C00864_Pantothenate,C02630_2-Hydroxyglutarate,C02989_Methionine sulfoxide,C05607_3-Phenyllactate,C07044_Hydroxyurea,C09815_Benzamide
8.576809891545562e-06,6.736989473169858e-06,3.828449841178856e-05,1.298696765912262e-06,1.918283347982904e-05,3.787865567244097e-07,2.1374384272305978e-06,6.358202916445448e-06,1.4339776790281223e-06,3.517303741012376e-07,0.0,2.3538878882159745e-06,4.599551045939261e-07,5.952360177097866e-07,6.179781736946256e-06,0.0007399171009891779,2.314131033409662e-06,5.785327583524154e-07,84.62984126,90.17670459,4712.878007,166.44467790000004,0.0,684.4446168,25.27756432,49.59759424,310.9769205,0.0,0.0,480.9505316,0.0,218.5655526,26707.4724,13.76477355,41.40505552,702.8859679999997,99.29406037,0.0,91.74854717,0.0
5.036124163190032e-06,0.0,1.2501175467033664e-05,0.0,7.93300974378607e-06,0.0,0.0,6.462283218252697e-07,0.0,5.125259104131449e-07,0.0,4.479030782306179e-06,2.451210875888954e-07,2.228373523535413e-07,6.028711092127831e-07,0.00035003943920430494,1.4822313823059115e-05,2.0788658938371837e-07,28.23351378,0.0,12733.53519,82.33423362,0.0,499.0888445000001,9.696281775,16.85195205,0.0,0.0,427.4169618,139.34753480000003,0.0,171.498606,63023.45608,7.997891644,80.89331263,1496.691316,61.04701333,0.0,137.9313624,0.0
0.0,4.947559467865692e-07,1.5517345603760578e-06,3.3733360008175165e-07,8.23093984199474e-06,0.0,3.148446934096349e-07,2.136446133851094e-06,0.0,4.947559467865692e-07,0.0,1.2368898669664228e-05,2.248890667211678e-07,2.248890667211678e-07,2.083182987824278e-06,8.832695868374938e-05,9.122148662472628e-06,2.1928241977097667e-07,56.43292262,78.59885890000002,5494.831715,95.36748321,0.0,2901.815376,33.06510456,40.04548969,0.0,0.0,0.0,667.9727128,0.0,355.8621294,72827.27635,8.000122475,0.0,0.0,72.29627334,0.0,144.611187,0.0
3.782601234154364e-06,1.6624171029086058e-06,2.1731887345269026e-05,3.276648202834353e-06,4.570442382924095e-05,2.1201841312457583e-06,1.1564640715885954e-06,3.421206211782928e-06,7.950690492171593e-07,5.782320357942977e-07,2.409300149142907e-07,1.5419520954514605e-06,3.613950223714361e-07,4.095810253542942e-07,3.2106233104094827e-06,0.0024596992161466,8.04916829933645e-06,3.843703963166282e-07,28.99595752,36.80619315,1310.612598,93.55345245,0.0,737.4666428999999,12.67354167,47.43742173,173.5693696,0.0,0.0,318.92106960000007,0.0,86.54810062,52365.57925,10.76680528,0.0,0.0,29.09419824,0.0,106.5787591,0.0
4.217419556891447e-07,1.1502053336976674e-06,6.268619068652286e-06,2.1470499562356457e-06,1.0850270314547994e-05,3.4506160010930015e-07,7.859736446934059e-07,3.642316890042613e-07,1.2268856892775118e-06,3.258915112143391e-07,0.0,1.1137821647972411e-05,1.917008889496112e-07,3.642316890042613e-07,3.5872634400364844e-07,0.00037679482354109536,9.251363608515144e-07,3.5872634400364844e-07,30.07807729,0.0,12100.53127,80.18907643,0.0,1609.184419,12.25363262,37.75630806,211.0242782,269.5735264,0.0,1353.308892,0.0,4036.39054,48691.8898,10.266297300000002,66.48923757,527.2307155,170.9759283,183.1691898,99.26583969,0.0
0.0,4.063692208111622e-07,0.0,9.083547288720096e-07,8.844506570595884e-07,0.0,0.0,9.561628724968522e-07,0.0,2.3904071812421305e-07,0.0,2.2469827503676027e-06,4.063692208111622e-07,5.019855080608474e-07,8.967772605266181e-07,9.90938872881913e-05,6.636151727896974e-06,4.708080617764745e-07,34.12034273,0.0,9872.654217,151.5090292,0.0,6083.570627,8.681946446,28.28234188,0.0,0.0,0.0,440.120845,0.0,1286.148162,55770.73905,22.23173186,0.0,1463.951725,384.8981494,421.8321595,149.85546589999996,0.0
9.999568085882675e-06,3.053089415577624e-06,1.1007927892862445e-05,1.5685596997463022e-06,2.6945614842070408e-05,0.0,1.2044297694480537e-06,3.8261652675954446e-05,1.120399785533073e-06,0.0,5.601998927665365e-07,1.4004997319163414e-06,0.0,0.0,3.667688321027872e-05,0.0006645335720749622,9.934441279504484e-07,0.0,0.0,0.0,38961.0,0.0,4963.0,10327.0,0.0,4.5,264.0,626.0,0.0,6079.0,6299.0,11303.0,0.0,0.0,322.0,4791.0,1048.0,1637.0,0.0,967.0
0.0,0.0,0.0,0.0,6.500857781066484e-06,0.0,0.0,0.0,0.0,8.066757830520455e-07,0.0,7.521065389044071e-06,0.0,3.084348582257821e-07,0.0,2.9857987944837367e-05,2.007993341319472e-06,2.8373818953427325e-07,7.106866424,0.0,13589.94811,66.65339947,0.0,4941.107636,2.080982983,248.6085143,233.8197701,0.0,0.0,983.5356958,782.1788404,3756.847593,101277.9493,7.541504417,0.0,958.0956616,128.3368061,706.4213069,135.169669,0.0
0.0,0.0,1.014530479298906e-06,0.0,4.645481668368675e-06,0.0,0.0,0.0,0.0,4.271707281258552e-07,0.0,1.2548140138696997e-06,0.0,1.014530479298906e-06,0.0,7.102837783613079e-05,2.0017319820437e-05,1.8591149451550905e-06,54.97568269,86.10752007,13464.69205,174.7136217,0.0,393.7440393,14.34097839,51.42515613,629.4887155,348.9856787,0.0,118.868331,0.0,436.4030234,69326.78555,22.26109306,205.4048242,920.8005878,36.39003642,0.0,143.88675519999995,0.0
1.6588574438939298e-05,1.7775202391505758e-05,6.741984122336789e-05,1.1115555718938886e-05,0.00026486020239223227,4.72229491327469e-06,3.9473542095578185e-06,8.088443595044855e-06,8.718082916814814e-07,6.780731157522633e-07,0.0,7.022900127434155e-07,2.906027638938271e-07,5.085548368141975e-07,7.858632148605323e-06,0.0088762544253334,9.082131764555852e-06,4.941056141338675e-07,15.20388809,0.0,1043.342694,51.270464200000006,0.0,1001.887149,6.261177091,26.82354637,570.6152472,0.0,0.0,237.2896576,0.0,102.8861724,59369.82044,8.240153336,0.0,121.7738982,62.18973319,0.0,106.3146521,0.0
2.193709617677191e-06,4.490652629127426e-06,2.709876586542412e-06,5.677836657517435e-07,0.00013167419375751798,6.452087110815267e-07,1.522692558152403e-06,1.548500906595664e-06,5.161669688652213e-07,1.2904174221630537e-06,0.0,1.1020164785272477e-05,0.0,3.0970018131913284e-07,1.465684550534275e-06,0.00013667508433732117,4.69019056170968e-06,2.93136910106855e-07,25.38938451,0.0,887.1726864,47.67458597,0.0,471.8160427,6.168190535,19.97509733,0.0,0.0,0.0,576.3961817,0.0,77.13394620000003,20642.24091,0.0,0.0,261.3899177,48.43849799,0.0,83.40106679,0.0
0.0,0.0,0.0,0.0,1.117339502909622e-06,0.0,0.0,0.0,0.0,1.480474841355249e-06,0.0,3.100617120574201e-06,6.704037017457732e-07,1.4525413537825086e-06,0.0,7.181721872833712e-06,1.5366174724138544e-05,1.409243537310766e-06,11.71896642,0.0,3654.881094,77.24464954,0.0,3484.716658,3.116910826,28.73354902,0.0,0.0,0.0,961.1972014,0.0,1500.42956,28207.62589,7.791435541,0.0,163.11279119999998,41.0409283,0.0,95.53131595,0.0
1.2442439001897457e-05,9.005652781424502e-06,8.789262537913241e-05,1.1933285487753317e-05,0.0008509228105133964,4.646025816565291e-06,5.377933993147494e-06,5.556137723097943e-05,3.182209463400884e-06,0.0,3.5004304097409725e-07,1.018307028288283e-06,0.0,0.0,5.449429868225233e-05,0.0128289441754599,2.434453205736358e-06,0.0,0.0,0.0,26895.0,0.0,1472.0,159.0,0.0,3.7,325.0,656.0,0.0,127.0,3830.0,5342.0,0.0,6.2,167.0,5633.0,291.0,823.0,0.0,919.0
0.0,0.0,9.469204379772164e-07,1.1047405109734191e-06,5.20806240887469e-06,0.0,0.0,1.956968905152914e-06,5.681522627863298e-07,6.312802919848109e-07,0.0,1.578200729962027e-05,3.47204160591646e-07,0.0,1.863761331293136e-06,0.0001359343345178639,8.14644065774903e-06,0.0,52.25462111,16.78015431,3921.349278,172.3951402,0.0,1234.055205,11.72815981,56.50314271,0.0,174.0026989,0.0,334.2977246000001,0.0,170.04120980000005,63330.58921000001,0.0,0.0,517.9761082,80.57691304,125.0862385,119.3697831,0.0
